亜,ア アシア,つぐ,Asia; rank next; come after; -ous
恨,コン,うらむ うらめしい,regret; bear a grudge; resentment; malice; hatred
懇,コン,ねんごろ,sociable; kind; courteous; hospitable; cordial
昆,コン,,descendants; elder brother; insect
紺,コン,,dark blue; navy
魂,コン,たましい たま,soul; spirit
佐,サ,,assistant; help
唆,サ,そそのかす,tempt; seduce; instigate; promote
沙,サ シャ,すな よなげる,sand
詐,サ,いつわる,lie; falsehood; deceive; pretend
鎖,サ,くさり とざす,chain; irons; connection
債,サイ,,bond; loan; debt
催,サイ,もようす もよおす,sponsor; hold (a meeting); give (a dinner)
哉,サイ,かな や,"how; what; alas; ""?"" (question mark)"
宰,サイ,,superintend; manager; rule
彩,サイ,いろどる,coloring; paint; makeup
栽,サイ,,plantation; planting
災,サイ,わざわい,disaster; calamity; woe; curse; evil
砕,サイ,くだく くだける,smash; break; crush; familiar; popular
斎,サイ,とき つつしむ ものいみ いむ,purification; Buddhist food; room; worship; avoid; alike
裁,サイ,たつ さばく,tailor; judge; decision; cut out (pattern)
載,サイ,のせる のる,ride; board; get on; place; spread; 10**44
剤,ザイ スイ セイ,かる けずる,dose; medicine; drug
冴,ゴ コ,さえる こおる ひえる,be clear; serene; cold; skilful
阪,ハン,さか,heights; slope
崎,キ,さき さい みさき,promontory; cape; spit
削,サク,けずる はつる そぐ,plane; sharpen; whittle; pare
搾,サク,しぼる,squeeze
策,サク,,scheme; plan; policy; step; means
索,サク,,cord; rope
錯,サク シャク,,confused; mix; be in disorder
桜,オウ ヨウ,さくら,cherry
笹,,ささ,bamboo grass
撮,サツ,とる つまむ,snapshot; take pictures
擦,サツ,する すれる こする こすれる,grate; rub; scratch; scrape; chafe; scour
傘,サン,かさ,umbrella
惨,サン ザン,みじめ いたむ むごい,wretched; disaster; cruelty; harsh
桟,サン セン,かけはし,scaffold; cleat; frame; jetty; bolt (door)
蚕,サン テン,かいこ こ,silkworm
酸,サン,すい,acid; bitterness; sour; tart
暫,ザン,しばらく,temporarily; a while; moment; long time
司,シ,つかさどる,director; official; govt office; rule; administer
嗣,シ,,heir; succeed
士,シ,,gentleman; samurai
姿,シ,すがた,figure; form; shape
志,シ シリング,こころざす こころざし,intention; plan; resolve; aspire; motive; hopes; shilling
施,シ セ,ほどこす,alms; apply bandages; admin 1st aid
旨,シ,むね うまい,delicious; relish; show a liking for; purport; will; clever; expert
氏,シ,うじ,family name; surname; clan
祉,シ,,welfare; happiness
紫,シ,むらさき,purple; violet
肢,シ,,limb; arms & legs
至,シ,いたる,climax; arrive; proceed; reach; attain; result in
視,シ,みる,inspection; regard as; see; look at
詩,シ,,poem; poetry
諮,シ,はかる,consult with
賜,シ,たまわる たまう たもう,grant; gift; boon; results
雌,シ,め- めす めん,feminine; female
飼,シ,かう,domesticate; raise; keep; feed
侍,ジ シ,さむらい はべる,waiter; samurai; wait upon; serve
慈,ジ,いつくしむ,mercy
滋,ジ,,nourishing; more & more; be luxuriant; planting; turbidity
爾,ジ ニ,なんじ しかり その のみ,you; thou; second person
璽,ジ,,emperors seal
磁,ジ,,magnet; porcelain
汐,セキ,しお うしお せい,eventide; tide; salt water; opportunity
鹿,ロク,しか か,deer
識,シキ,,discriminating; know; write
軸,ジク,,axis; pivot; stem; stalk; counter for book scrolls
叱,シツ シチ,しかる,scold; reprove
